Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
MVFD  -116.525318    33.210874   -36.394000    14.457000    -0.513000     0.155000     0.176000     0.637000
MWTP  -118.944733    37.640519   -22.062000    -2.909000     0.044000     0.155000     0.189000     0.661000
NBPS  -116.148174    34.508621   -14.219000    -6.576000     0.839000     0.321000     0.381000     1.333000
NDAP  -114.618632    34.767687   -14.848000    -8.625000    -0.813000     0.124000     0.147000     0.509000
NEVA  -116.310296    36.850350   -15.342000    -8.414000    -0.380000     0.311000     0.378000     1.280000
NEWS  -117.508939    39.685615   -16.551000    -9.669000     0.805000     0.063000     0.080000     0.261000
NHRG  -119.141264    34.498659   -38.392000    12.561000    -0.307000     0.071000     0.086000     0.286000
NOCO  -117.569585    33.919710   -34.745000    13.931000    -0.343000     0.114000     0.133000     0.446000
NOPE  -115.985041    35.969450   -15.032000    -8.604000     0.260000     0.224000     0.282000     0.927000
NOPK  -118.348016    33.979738   -38.058000    17.389000     0.935000     0.197000     0.231000     0.823000
NSSS  -116.972687    32.579317   -40.508000    18.072000    -1.949000     0.102000     0.117000     0.409000
OAES  -116.067739    34.141004   -16.489000    -5.014000    -0.544000     0.084000     0.098000     0.330000
OAT2  -118.601384    34.329893   -37.470000    14.411000     3.073000     0.603000     0.662000     2.468000
OCSD  -117.346738    33.240668   -38.957000    17.716000    -0.545000     0.216000     0.243000     0.895000
OEOC  -117.744140    33.765860   -37.807000    17.216000    -1.480000     0.100000     0.119000     0.405000
OGHS  -117.041773    33.130609   -38.139000    17.622000     0.656000     0.321000     0.365000     1.332000
OHLN  -122.272993    38.006254   -26.402000     6.610000    -1.704000     0.115000     0.135000     0.484000
OPBL  -115.918059    34.369881   -14.346000    -7.379000    -0.121000     0.126000     0.150000     0.506000
OPCL  -116.305459    34.427716   -16.614000    -3.167000     0.319000     0.139000     0.160000     0.547000
OPCP  -116.083374    34.367129   -14.332000    -6.581000     0.559000     0.217000     0.246000     0.916000
OPCX  -116.149486    34.430082   -14.579000    -6.097000     0.551000     0.137000     0.162000     0.541000
OPRD  -116.292281    34.533031   -16.931000    -4.361000     1.496000     0.159000     0.188000     0.648000
ORES  -120.278564    34.739062   -41.385000    22.891000    -6.474000     0.204000     0.246000     0.908000
ORMT  -116.815095    34.674904   -21.176000    -0.070000    -0.414000     0.126000     0.151000     0.511000
ORVB  -121.500294    39.554627   -22.707000    -4.751000     7.370000     0.225000     0.282000     0.911000
OVLS  -119.141952    34.327361   -39.253000    17.409000    -1.281000     0.146000     0.159000     0.661000
OXMT  -122.424321    37.499365   -37.024000    20.599000    -2.514000     0.164000     0.207000     0.887000
OXYC  -118.207320    34.128813   -37.166000    13.571000     0.973000     0.101000     0.121000     0.409000
OZST  -119.353412    34.683372   -38.642000    12.820000     1.089000     0.091000     0.110000     0.399000
P001  -112.801704    31.949376   -13.173000    -8.102000    -0.927000     0.123000     0.138000     0.492000
P002  -117.186534    39.521137   -16.360000    -9.415000    -0.809000     0.077000     0.097000     0.308000
P003  -114.004954    32.722544   -13.382000    -7.923000    -0.949000     0.128000     0.147000     0.524000
P005  -115.278630    39.910170   -16.452000    -9.468000    -1.402000     0.134000     0.160000     0.583000
P006  -114.456914    36.154187   -14.713000    -8.477000    -1.209000     0.161000     0.192000     0.636000
P007  -114.819715    41.724200   -16.739000    -9.612000    -0.790000     0.143000     0.185000     0.568000
P010  -113.731345    34.667261   -14.083000    -8.311000    -1.350000     0.082000     0.097000     0.318000
P013  -117.329997    41.428740   -16.354000    -9.508000     0.587000     0.074000     0.097000     0.296000
P016  -112.361405    40.078121   -16.341000    -8.676000    -0.768000     0.072000     0.091000     0.281000
P017  -119.935513    41.275895   -17.325000    -7.406000    -0.040000     0.061000     0.079000     0.239000
P056  -119.062874    36.027437   -23.709000     0.089000   -31.550000     0.352000     0.439000     1.438000
P057  -112.623142    41.756570   -16.198000    -9.430000     0.621000     0.058000     0.075000     0.228000
P058  -124.075371    40.876306   -10.850000     4.900000     0.955000     0.198000     0.246000     0.919000
P059  -123.726202    38.928348   -37.246000    23.686000    -0.416000     0.067000     0.084000     0.264000
P060  -122.414887    40.997632   -18.593000    -5.288000     1.928000     0.145000     0.196000     0.639000
P066  -116.169792    32.616526   -39.126000    17.637000    -0.681000     0.101000     0.117000     0.401000
P067  -121.002965    35.551755   -39.326000    25.375000    -1.266000     0.138000     0.169000     0.562000
P068  -117.984791    39.305642   -16.756000    -9.066000     0.145000     0.134000     0.172000     0.557000
P069  -117.604897    39.287940   -16.439000    -9.468000     0.495000     0.067000     0.083000     0.265000
P071  -117.401183    39.346547   -16.352000    -9.547000    -0.285000     0.131000     0.167000     0.536000
P072  -116.740899    39.521454   -16.355000    -9.605000     0.072000     0.068000     0.087000     0.277000
P073  -116.424473    39.500524   -16.273000    -9.733000    -0.078000     0.071000     0.093000     0.283000
P074  -116.049600    39.546426   -16.281000    -9.670000    -0.197000     0.065000     0.081000     0.254000
P075  -115.888820    39.374243   -16.352000    -9.722000    -0.221000     0.072000     0.090000     0.280000
P076  -115.512601    39.536062   -16.296000    -9.627000    -0.622000     0.128000     0.160000     0.505000
P077  -115.431827    39.388560   -16.492000    -9.459000    -1.257000     0.074000     0.092000     0.280000
P078  -117.879807    40.433416   -17.610000    -8.960000     1.279000     0.072000     0.093000     0.289000
P079  -114.691660    39.255208   -16.027000    -9.114000    -1.565000     0.148000     0.182000     0.583000
P080  -114.277218    39.119438   -16.370000    -9.127000    -0.882000     0.075000     0.094000     0.302000
P081  -113.871330    39.067306   -16.379000    -9.137000    -0.127000     0.051000     0.064000     0.203000
P082  -113.505210    39.268934   -16.346000    -9.162000    -0.106000     0.061000     0.078000     0.240000
P083  -117.467639    40.320580   -16.668000    -9.525000     1.312000     0.072000     0.091000     0.287000
P084  -113.054006    40.493952   -16.706000    -9.225000     0.248000     0.063000     0.081000     0.247000
P085  -116.736215    40.495460   -16.488000    -9.986000     0.656000     0.075000     0.095000     0.306000
P087  -116.279267    40.363205   -16.512000    -9.433000    -1.090000     0.075000     0.098000     0.297000
P090  -119.799856    39.572803   -19.827000    -5.860000    -0.120000     0.127000     0.162000     0.505000
P091  -117.531544    36.614323   -17.390000    -6.276000    -0.930000     0.144000     0.176000     0.569000
P092  -117.406804    36.804193   -16.564000    -7.010000     0.322000     0.122000     0.150000     0.471000
P093  -117.994147    36.606024   -18.842000    -4.165000     0.650000     0.118000     0.141000     0.483000
P094  -117.704196    37.200835   -16.965000    -7.281000     0.420000     0.112000     0.138000     0.442000
P095  -119.536908    39.698430   -18.949000    -6.286000     1.272000     0.131000     0.167000     0.547000
P096  -119.305645    39.795564   -18.719000    -7.138000     0.201000     0.087000     0.113000     0.374000
P097  -118.873863    39.838805   -18.397000    -7.820000    -0.518000     0.147000     0.183000     0.598000
P098  -118.684417    39.888881   -18.154000    -8.119000     0.316000     0.073000     0.093000     0.294000
P099  -118.159353    39.212319   -16.908000    -8.265000    -0.166000     0.156000     0.199000     0.609000
P100  -113.294218    41.856800   -17.038000    -9.382000    -0.842000     0.078000     0.099000     0.330000
P102  -115.556009    39.924921   -16.512000    -9.512000    -0.585000     0.078000     0.100000     0.305000
P103  -113.042079    39.345140   -16.268000    -8.821000    -0.867000     0.103000     0.129000     0.408000
P104  -112.717123    39.186082   -15.986000    -8.568000    -1.258000     0.073000     0.090000     0.280000
P105  -112.504091    39.387543   -17.332000   -11.257000     7.702000     0.637000     0.803000     2.517000
P111  -113.012159    41.817319   -16.896000    -9.432000     0.477000     0.061000     0.079000     0.242000
P113  -113.278036    40.671304   -16.759000    -9.278000     0.311000     0.062000     0.079000     0.246000
P114  -112.527632    40.633985   -16.498000    -9.066000     0.536000     0.056000     0.070000     0.218000
P115  -112.428000    40.474422   -16.495000    -8.754000    -0.448000     0.078000     0.102000     0.314000
P121  -112.698293    41.803387   -16.488000    -9.357000    -0.149000     0.084000     0.109000     0.331000
P122  -112.331919    41.635362   -15.766000    -9.392000     0.075000     0.078000     0.101000     0.313000
P127  -119.599927    39.499213   -19.213000    -5.663000     0.313000     0.112000     0.135000     0.469000
P128  -119.068643    39.486098   -18.425000    -6.672000    -0.487000     0.147000     0.182000     0.579000
P129  -118.449605    39.133893   -17.267000    -7.311000     1.009000     0.122000     0.155000     0.483000
P130  -118.937762    39.268034   -18.318000    -6.726000    -0.935000     0.159000     0.197000     0.626000
P131  -118.351271    39.454685   -17.882000    -7.986000     0.766000     0.091000     0.117000     0.369000
P132  -118.004871    38.728843   -16.713000    -8.134000    -1.252000     0.135000     0.169000     0.533000
P133  -118.460215    38.724601   -17.582000    -6.921000     0.498000     0.071000     0.089000     0.285000
P134  -118.930416    38.980875   -18.762000    -5.959000    -0.375000     0.108000     0.140000     0.430000
P135  -119.015374    38.704621   -19.154000    -4.931000     0.055000     0.091000     0.115000     0.372000
P136  -119.458529    38.761366   -20.370000    -4.488000    -0.459000     0.119000     0.147000     0.505000
P137  -119.476770    40.779795   -17.824000    -7.789000    -0.100000     0.089000     0.109000     0.377000
P138  -119.010167    40.242177   -18.089000    -7.859000     0.077000     0.077000     0.091000     0.329000
P139  -119.722454    39.908199   -19.101000    -6.262000     1.396000     0.139000     0.178000     0.568000
P140  -120.693197    38.829235   -22.319000    -3.252000     0.600000     0.197000     0.221000     0.839000
P141  -120.385587    39.046632   -22.013000    -3.528000     2.031000     0.291000     0.350000     1.245000
P142  -119.810720    39.123533   -21.098000    -4.101000     0.613000     0.217000     0.276000     0.908000
P143  -119.764839    38.760166   -21.459000    -3.372000     2.931000     0.164000     0.207000     0.654000
P144  -120.892989    39.466703   -21.969000    -4.012000     0.187000     0.229000     0.265000     0.921000
P145  -119.624329    41.357687   -17.313000    -7.768000    -0.180000     0.065000     0.085000     0.257000
P146  -120.537303    39.337463   -21.958000    -4.072000     0.528000     0.123000     0.155000     0.486000
P147  -120.284416    39.937386   -20.744000    -5.913000    -0.681000     0.221000     0.286000     0.862000
P148  -120.805964    40.418587   -19.609000    -6.037000     0.788000     0.140000     0.172000     0.579000
P149  -120.104978    39.602129   -20.187000    -5.138000     2.613000     0.147000     0.186000     0.593000
P150  -120.033856    39.292380   -21.351000    -4.759000     0.044000     0.095000     0.112000     0.386000
P151  -120.077266    40.288901   -18.793000    -6.187000     1.515000     0.147000     0.190000     0.591000
P154  -123.360052    41.807082   -14.621000    -3.221000     0.986000     0.160000     0.221000     0.693000
P155  -123.188788    41.272434   -15.847000    -4.045000    -2.063000     0.166000     0.210000     0.676000
P156  -123.906121    40.024443   -31.742000    12.043000    -1.080000     0.068000     0.086000     0.304000
P157  -124.308078    40.247548   -30.771000    20.578000     0.349000     0.088000     0.115000     0.354000
P158  -124.107210    40.422491   -18.097000    10.869000     2.875000     0.195000     0.250000     0.808000
P159  -124.282784    40.504788   -14.936000    14.153000    -0.562000     0.152000     0.195000     0.603000
P160  -124.133273    40.551253   -15.053000     8.961000     0.993000     0.147000     0.191000     0.590000
P161  -124.213087    40.637364   -11.897000     9.212000    -0.970000     0.174000     0.222000     0.775000
P162  -124.237038    40.691095   -10.377000     8.465000    -0.113000     0.171000     0.224000     0.688000
P163  -124.057293    40.219572   -26.911000    12.352000     2.367000     0.182000     0.234000     0.747000
P164  -123.693344    40.119257   -26.817000     3.322000     0.025000     0.092000     0.122000     0.428000
P165  -123.853268    40.245549   -24.161000     6.007000     1.860000     0.213000     0.259000     0.912000
P166  -123.862831    40.435184   -18.522000     4.463000     1.565000     0.197000     0.245000     0.913000
P167  -123.880179    40.543704   -16.569000     3.430000     1.351000     0.163000     0.210000     0.660000
P168  -123.881462    40.668638   -14.075000     2.830000     1.806000     0.159000     0.201000     0.637000
P169  -123.967654    40.791145   -12.133000     3.706000     2.311000     0.159000     0.204000     0.632000
P170  -123.863283    40.880232   -14.021000    -0.067000     2.214000     0.085000     0.113000     0.375000
P171  -121.792524    36.485526   -40.249000    24.662000    -1.125000     0.111000     0.136000     0.439000
P172  -121.767250    36.228076   -40.686000    24.249000    -0.407000     0.150000     0.188000     0.661000
P173  -121.290339    35.945719   -40.120000    23.657000    -0.670000     0.118000     0.146000     0.481000
P174  -121.050904    36.302153   -39.806000    22.613000     1.574000     0.197000     0.243000     0.800000
P175  -121.134862    36.425905   -40.143000    22.895000     1.175000     0.164000     0.198000     0.664000
P176  -122.357144    37.471774   -36.230000    19.067000    -0.211000     0.111000     0.148000     0.497000
P177  -122.495057    37.528169   -36.865000    21.997000    -1.600000     0.082000     0.095000     0.322000
P178  -122.332369    37.534520   -34.167000    16.892000    -1.338000     0.169000     0.186000     0.769000
P180  -121.403244    36.292834   -39.860000    23.509000     0.116000     0.085000     0.103000     0.333000
P181  -122.376760    37.914546   -30.767000    12.598000     0.353000     0.159000     0.200000     0.665000
P182  -123.181250    38.495016   -33.579000    20.520000    -0.488000     0.137000     0.172000     0.561000
P183  -123.068892    38.313665   -34.484000    21.853000    -0.620000     0.115000     0.145000     0.462000
P184  -123.708942    39.117167   -35.612000    18.499000    -0.658000     0.082000     0.105000     0.335000
P185  -123.749341    39.261305   -35.177000    17.238000    -1.306000     0.054000     0.068000     0.213000
P186  -123.518157    39.150180   -33.285000    14.083000    -0.043000     0.202000     0.282000     1.046000
P187  -123.602546    39.352478   -34.805000    11.842000     2.844000     0.128000     0.144000     0.567000
P188  -123.229568    38.667858   -32.408000    17.895000    -0.604000     0.088000     0.117000     0.564000
P189  -123.348433    38.987450   -32.706000    14.612000     0.280000     0.095000     0.118000     0.398000
P190  -123.204052    39.241956   -29.532000     6.164000     2.023000     0.171000     0.219000     0.689000
P192  -123.105193    39.319728   -27.711000     3.137000     0.340000     0.092000     0.117000     0.380000
P193  -122.908146    38.122938   -35.026000    21.173000    -0.877000     0.076000     0.096000     0.306000
P194  -122.816262    38.185717   -31.895000    16.753000    -1.198000     0.129000     0.163000     0.534000
P195  -122.959312    38.664666   -29.673000    14.591000     1.672000     0.154000     0.206000     0.906000
P196  -122.742646    38.298145   -29.579000    13.870000    -0.976000     0.086000     0.108000     0.346000
P197  -122.767390    38.428562   -28.807000    14.342000     0.593000     0.203000     0.261000     0.837000
P198  -122.607454    38.259875   -29.236000    12.497000    -1.133000     0.216000     0.272000     0.869000
P199  -122.503442    38.263693   -26.858000     8.632000    -0.726000     0.169000     0.213000     0.689000
P200  -122.451706    38.239832   -27.059000     8.107000    -1.481000     0.147000     0.187000     0.604000
P201  -122.658438    38.559806   -25.085000     6.872000    -0.388000     0.115000     0.149000     0.463000
P202  -122.496004    38.423581   -26.798000     6.834000     0.615000     0.248000     0.293000     1.043000
P203  -122.917009    38.866113   -25.931000     4.613000    -1.885000     0.243000     0.309000     0.957000
P204  -122.710537    38.666500   -24.828000     7.305000    -3.334000     0.106000     0.130000     0.427000
P205  -122.963068    39.398124   -27.217000     1.986000     0.409000     0.184000     0.226000     0.859000
P206  -122.575797    38.777817   -23.981000     3.958000    -1.303000     0.105000     0.137000     0.445000
P207  -122.718571    39.260044   -24.248000    -3.915000    -1.576000     0.107000     0.136000     0.431000
P208  -122.303872    39.109301   -22.646000    -4.389000     1.274000     0.134000     0.170000     0.550000
P209  -122.126720    37.069256   -38.473000    21.925000     0.210000     0.083000     0.101000     0.344000
P210  -121.731847    36.816139   -39.585000    21.186000    -0.058000     0.054000     0.067000     0.217000
P211  -121.698043    36.879178   -38.631000    20.397000     0.462000     0.131000     0.172000     0.625000
P212  -121.862739    36.962012   -38.167000    20.816000     0.715000     0.124000     0.143000     0.507000
P213  -121.990841    37.201714   -33.769000    16.637000     0.664000     0.120000     0.144000     0.513000
P214  -121.796573    37.001021   -36.587000    18.643000     0.150000     0.074000     0.080000     0.444000
P215  -121.762954    37.048786   -34.155000    15.362000    -1.823000     0.136000     0.168000     0.603000
P216  -121.726212    37.002427   -35.309000    16.257000     0.123000     0.126000     0.159000     0.590000
P217  -121.650637    37.104498   -32.010000    11.913000    -0.188000     0.154000     0.182000     0.672000
P218  -121.713964    37.203515   -32.251000    11.337000    -0.777000     0.110000     0.133000     0.451000
P219  -122.284826    37.342491   -34.216000    19.176000    -0.894000     0.188000     0.235000     0.760000
P220  -122.214289    37.329889   -35.643000    18.583000    -0.109000     0.073000     0.091000     0.294000
P221  -122.099054    37.336953   -33.277000    16.252000    -1.021000     0.097000     0.123000     0.410000
P222  -122.083268    37.539241   -31.778000    12.505000     0.313000     0.132000     0.167000     0.534000
P223  -122.099783    37.722054   -27.896000     7.450000    -0.731000     0.121000     0.149000     0.477000
P224  -122.219064    37.863897   -27.103000     7.272000    -0.053000     0.068000     0.086000     0.279000
P225  -122.058332    37.713866   -27.786000     6.259000    -0.716000     0.101000     0.124000     0.426000
P226  -121.825590    37.336777   -30.360000    12.812000     1.594000     0.249000     0.309000     0.999000
P227  -121.789601    37.532974   -24.263000     1.601000     1.417000     0.122000     0.152000     0.490000
P228  -121.686940    37.601836   -23.545000    -0.179000     2.230000     0.144000     0.177000     0.587000
P229  -121.977960    37.749435   -26.092000     4.109000     0.615000     0.108000     0.135000     0.435000
P230  -121.786403    37.818964   -22.899000    -2.137000     1.120000     0.104000     0.128000     0.426000
P231  -121.905415    36.621679   -40.292000    23.302000     0.107000     0.113000     0.140000     0.454000
P232  -121.579046    36.724022   -39.659000    22.626000    -0.215000     0.113000     0.141000     0.460000
P233  -121.420288    36.800427   -29.869000    14.235000     1.493000     0.159000     0.197000     0.638000
P234  -121.591231    36.858528   -38.724000    20.398000     0.224000     0.102000     0.127000     0.417000
P235  -121.541546    36.814274   -39.118000    22.252000    -0.698000     0.178000     0.213000     0.702000
P236  -121.554465    36.903546   -33.954000    13.418000     3.122000     0.178000     0.218000     0.718000
P237  -121.386835    36.637025   -39.446000    22.621000     1.596000     0.119000     0.146000     0.517000
P238  -121.452772    36.849081   -27.724000    12.176000     2.093000     0.353000     0.436000     1.429000
P239  -121.547791    36.962463   -32.442000    11.356000    -0.006000     0.117000     0.143000     0.471000
P240  -121.542037    37.007808   -31.697000    10.768000     0.449000     0.099000     0.125000     0.404000
P241  -121.574263    37.213011   -24.491000     1.265000     1.113000     0.111000     0.137000     0.442000
P242  -121.463187    36.953933   -31.073000    10.482000    -3.162000     0.135000     0.165000     0.553000
P243  -121.335156    36.918189   -24.715000    -0.889000     3.267000     0.174000     0.217000     0.696000
P244  -121.354521    37.010823   -24.685000    -1.446000     2.266000     0.195000     0.241000     0.816000
P245  -119.706125    37.713116   -22.818000    -2.752000     7.629000     0.484000     0.590000     1.956000
P247  -121.188438    36.559520   -39.199000    23.293000     0.299000     0.156000     0.191000     0.620000
P248  -121.868701    37.975608   -23.216000    -1.448000     0.914000     0.116000     0.146000     0.465000
P249  -121.064414    36.611645   -20.024000     0.317000     1.589000     0.231000     0.287000     0.917000
P250  -121.268441    36.950035   -23.812000    -0.977000     1.626000     0.244000     0.300000     1.004000
P251  -121.347953    36.811450   -24.472000     2.233000     3.592000     0.161000     0.200000     0.651000
P252  -121.057733    37.169555   -22.754000    -2.636000     3.389000     0.155000     0.193000     0.645000
P253  -121.653013    37.478450   -23.748000    -0.128000     1.416000     0.137000     0.170000     0.608000
P254  -121.469199    37.489632   -22.952000    -1.689000     0.469000     0.191000     0.238000     0.756000
P255  -121.324856    37.581885   -22.570000    -2.089000     1.940000     0.131000     0.166000     0.536000
P256  -121.604843    37.931964   -22.897000    -2.683000    -1.097000     0.160000     0.197000     0.626000
P257  -121.464038    37.755290   -23.066000    -2.913000     0.116000     0.126000     0.157000     0.512000
P258  -121.283275    37.385389   -23.249000    -2.630000     1.768000     0.121000     0.153000     0.514000
P259  -121.100583    37.433020   -22.365000    -2.518000     0.069000     0.200000     0.246000     0.805000
P260  -121.083955    37.711221   -22.964000    -3.584000     0.088000     0.617000     0.768000     2.474000
P261  -122.217543    38.152960   -23.946000     2.532000    -1.534000     0.175000     0.215000     0.680000
P262  -122.096147    38.025149   -25.281000     3.631000     0.762000     0.209000     0.268000     0.870000
P263  -122.429179    38.577694   -24.285000     3.444000    -1.416000     0.120000     0.144000     0.481000
P264  -122.195333    38.444214   -23.527000    -0.557000     1.609000     0.151000     0.202000     0.656000
P265  -121.954198    38.530185   -22.781000    -3.145000    -1.489000     0.140000     0.171000     0.560000
P266  -121.843530    38.183968   -22.756000    -2.732000    -0.512000     0.157000     0.206000     0.652000
P267  -121.823238    38.380335   -22.404000    -3.656000    -2.823000     0.112000     0.141000     0.445000
P268  -121.646415    38.473526   -23.776000    -3.721000    -2.882000     0.053000     0.066000     0.210000
P269  -122.354557    38.999525   -21.482000    -3.416000     0.867000     0.135000     0.151000     0.572000
P270  -122.055216    39.243769   -22.460000    -4.898000    -1.323000     0.071000     0.091000     0.283000
P272  -121.943066    39.145481   -22.086000    -5.412000    -1.488000     0.163000     0.207000     0.666000
P273  -121.388081    38.115812   -23.292000    -2.875000    -2.656000     0.101000     0.129000     0.413000
P274  -121.460515    38.283123   -23.879000    -3.474000    -2.077000     0.183000     0.229000     0.769000
P275  -121.214589    38.321529   -22.783000    -3.695000    -2.600000     0.103000     0.130000     0.414000
P276  -121.095168    38.645307   -22.620000    -3.746000     2.544000     0.148000     0.187000     0.587000
P277  -122.366888    37.192374   -39.139000    23.764000    -0.297000     0.071000     0.087000     0.284000
P278  -121.060759    35.711254   -40.218000    22.455000     1.384000     0.085000     0.104000     0.337000
P279  -121.062021    35.790649   -39.696000    22.576000     2.169000     0.111000     0.135000     0.438000
P280  -120.347610    35.544056   -36.195000    18.590000     1.755000     0.211000     0.254000     0.859000
P281  -120.389464    35.841060   -32.026000    16.655000     0.382000     0.200000     0.241000     0.831000
P282  -120.345217    35.837809   -26.693000     8.251000     3.539000     0.146000     0.180000     0.601000
P283  -120.285259    35.806670   -26.059000     7.999000     1.244000     0.149000     0.182000     0.633000
P284  -120.906849    35.933262   -38.717000    21.063000    -0.995000     0.079000     0.099000     0.322000
P285  -120.981484    36.417180   -23.224000     2.216000     3.192000     0.113000     0.140000     0.460000
P286  -120.853059    36.515909   -22.039000    -0.166000    -0.232000     0.123000     0.154000     0.513000
P287  -120.697836    36.024837   -38.834000    21.747000    -0.943000     0.135000     0.172000     0.556000
P288  -120.878906    36.140209   -39.668000    21.773000    -0.131000     0.097000     0.119000     0.391000
P289  -120.748821    36.106844   -39.493000    21.590000     0.478000     0.094000     0.116000     0.373000
P290  -120.728255    36.178939   -20.934000     0.295000     2.983000     0.165000     0.202000     0.651000
P291  -120.644775    35.922779   -37.308000    21.212000     0.358000     0.126000     0.155000     0.507000
P292  -120.475279    36.007464   -21.912000     6.374000     1.244000     0.271000     0.318000     1.176000
P293  -120.542996    36.089364   -21.676000     2.735000     1.041000     0.090000     0.111000     0.359000
P294  -120.439885    36.123236   -20.806000     2.499000     1.988000     0.171000     0.210000     0.681000
P295  -120.842388    35.697079   -38.690000    21.835000     1.593000     0.181000     0.216000     0.735000
P296  -120.363564    36.051655   -21.119000     3.175000     1.317000     0.108000     0.131000     0.432000
P297  -120.551862    35.974088   -35.760000    19.758000     2.105000     0.150000     0.177000     0.613000
P298  -120.294062    36.015842   -21.156000     3.398000     2.066000     0.168000     0.204000     0.671000
P300  -120.276983    36.304427   -20.946000     0.417000    -0.272000     0.376000     0.464000     1.542000
P301  -120.743056    36.806291   -21.416000    -1.990000     0.931000     0.145000     0.181000     0.588000
P302  -120.618578    36.634727   -18.607000    -0.527000    -0.557000     0.366000     0.455000     1.484000
P303  -120.705299    37.054383   -22.315000    -1.451000   -29.916000     0.309000     0.377000     1.245000
P304  -120.356602    36.739004   -24.083000    -0.854000    -8.518000     0.388000     0.475000     1.537000
P305  -120.196762    37.352214   -22.499000    -2.676000     3.775000     0.274000     0.342000     1.135000
P306  -120.644462    37.795167   -22.984000    -2.678000     2.062000     0.213000     0.258000     0.867000
P307  -120.057923    36.947270   -25.450000     0.157000   -34.132000     0.544000     0.682000     2.346000
P308  -119.840202    37.901150   -22.655000    -2.396000    -0.036000     0.172000     0.202000     0.743000
P309  -120.951241    38.089990   -23.256000    -3.198000     2.260000     0.266000     0.328000     1.071000
P310  -120.334340    38.735607   -21.941000    -3.347000     3.331000     0.189000     0.225000     0.786000
P311  -118.519804    37.177563   -20.148000    -2.312000     0.481000     0.263000     0.327000     1.030000
P312  -123.698380    39.529180   -34.860000    12.460000    -2.670000     0.110000     0.138000     0.571000
P313  -123.564550    39.554289   -33.935000    10.170000    -1.400000     0.117000     0.153000     0.520000
P314  -123.581853    39.685665   -34.650000     7.569000    -1.436000     0.075000     0.097000     0.300000
P315  -123.716901    39.863584   -33.475000     8.385000     0.916000     0.131000     0.166000     0.572000
P316  -124.086146    41.559133   -12.968000    -1.424000    -1.070000     0.230000     0.295000     1.041000
P317  -123.551854    39.905670   -29.723000     2.180000    -1.023000     0.116000     0.154000     0.590000
P318  -123.371858    39.452369   -30.050000     2.899000    -1.965000     0.137000     0.177000     0.553000
P319  -123.295083    39.707097   -29.768000    -2.949000     3.761000     0.136000     0.174000     0.571000
P320  -123.186789    39.492827   -29.508000     2.396000    -1.323000     0.113000     0.154000     0.507000
P321  -123.394951    39.897220   -27.423000     4.066000    -1.835000     0.125000     0.134000     0.570000
P322  -123.182485    39.962143   -23.501000    -3.994000    -0.784000     0.117000     0.153000     0.476000
P324  -123.655740    40.256838   -23.358000     2.233000     0.332000     0.190000     0.246000     0.766000
P325  -123.882609    41.151670   -13.055000    -1.495000     2.919000     0.190000     0.247000     0.763000
P326  -123.698933    40.575314   -18.548000    -2.134000     1.340000     0.161000     0.199000     0.668000
P327  -123.573067    40.478860   -20.499000    -3.011000     2.219000     0.225000     0.291000     0.940000
P329  -123.452050    40.082214   -26.445000     0.677000     0.444000     0.214000     0.279000     0.856000
P330  -123.135585    40.324068   -21.313000    -4.454000    -0.674000     0.119000     0.156000     0.476000
P331  -123.324145    40.732914   -18.226000    -3.931000    -0.903000     0.111000     0.145000     0.443000
P332  -123.174507    40.546650   -20.098000    -4.316000     0.215000     0.159000     0.208000     0.645000
P333  -122.975757    39.621381   -23.968000    -3.525000    -1.286000     0.103000     0.127000     0.437000
P334  -122.735875    39.493591   -23.407000    -4.625000    -0.101000     0.300000     0.381000     1.184000
P335  -122.873640    39.726189   -23.075000    -4.355000    -0.452000     0.075000     0.096000     0.301000
P336  -122.430487    39.528080   -22.353000    -4.967000     0.737000     0.119000     0.153000     0.475000
P337  -122.868808    40.296188   -20.924000    -4.783000    -0.705000     0.143000     0.177000     0.611000
P338  -122.923031    40.747552   -19.309000    -4.840000     1.828000     0.130000     0.169000     0.535000
P339  -122.668253    40.034110   -21.757000    -4.965000    -0.095000     0.121000     0.156000     0.492000
P340  -123.049826    39.409338   -24.430000    -5.449000    -1.866000     0.267000     0.340000     1.628000
P341  -122.606903    40.650656   -20.140000    -5.175000     1.637000     0.127000     0.168000     0.546000
P343  -123.334213    40.887128   -17.493000    -3.202000     0.462000     0.202000     0.251000     0.761000
P344  -122.027975    39.929123   -22.327000    -4.859000     1.242000     0.132000     0.170000     0.534000
P345  -122.270810    40.271234   -21.497000    -5.187000     1.557000     0.131000     0.169000     0.551000
P346  -120.867467    39.794709   -22.134000    -4.384000    -1.604000     0.096000     0.125000     0.385000
P347  -120.948464    41.183343   -17.980000    -6.526000     0.849000     0.137000     0.181000     0.553000
P348  -121.828006    40.905545   -19.630000    -6.128000    -0.574000     0.093000     0.122000     0.375000
P349  -122.319354    40.731085   -19.579000    -6.176000     5.137000     0.240000     0.289000     1.053000
P462  -116.628710    36.071316   -15.107000    -7.506000    -1.003000     0.112000     0.138000     0.493000
P463  -117.164675    36.022465   -17.163000    -5.053000    -1.003000     0.111000     0.130000     0.451000
P464  -117.410003    36.159044   -17.912000    -4.566000     0.208000     0.141000     0.172000     0.600000
P465  -118.132436    36.466834   -21.381000    -0.897000    -1.316000     0.261000     0.326000     1.042000
