Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
CHLO  -116.765528    36.746501   -15.554000    -8.508000    -0.043000     0.160000     0.191000     0.671000
CHMS  -117.827705    34.640463   -24.821000     5.455000     1.182000     0.154000     0.187000     0.640000
CHO1  -121.664966    39.432638   -21.835000    -4.060000     0.751000     0.191000     0.239000     0.809000
CIC1  -116.665767    31.870681   -40.941000    20.190000    -0.970000     0.218000     0.231000     0.976000
CICE  -116.667389    31.871267   -40.761000    19.301000    -1.231000     0.402000     0.424000     1.683000
CIRX  -118.937301    34.109556   -39.817000    19.522000    -0.556000     0.117000     0.145000     0.597000
CIT1  -118.127290    34.136710   -36.958000    12.734000     0.568000     0.161000     0.189000     0.656000
CJMG  -117.424466    34.271195   -27.809000     6.580000    -1.715000     0.282000     0.332000     1.106000
CJMS  -117.479387    34.313800   -28.737000     7.621000     0.785000     0.084000     0.097000     0.347000
CJVG  -118.144233    34.530322   -32.257000    10.155000    -0.591000     0.444000     0.498000     1.751000
CLAR  -117.708814    34.109929   -35.100000    11.924000    -1.922000     0.177000     0.209000     0.741000
CLBD  -117.310980    33.135387   -39.124000    17.647000    -1.410000     0.099000     0.114000     0.398000
CLOV  -114.874191    40.558383   -16.609000    -9.736000    -0.014000     0.083000     0.100000     0.337000
CMBB  -120.386044    38.034176   -22.087000    -2.586000     4.344000     0.201000     0.232000     0.870000
CME1  -124.396337    40.441776   -19.596000    18.815000    -1.508000     0.148000     0.185000     0.635000
CMOD  -120.999980    37.641337   -22.685000    -3.186000    -0.513000     0.113000     0.142000     0.453000
CMP9  -118.411429    34.353181   -36.511000    12.798000    -1.471000     0.140000     0.168000     0.585000
CNDR  -121.278499    37.896405   -24.041000    -2.784000    -3.912000     0.418000     0.517000     1.781000
CNPP  -117.608924    33.857634   -35.779000    14.834000     0.373000     0.115000     0.136000     0.473000
COAG  -115.123348    32.863464   -13.451000    -7.255000    -2.476000     0.175000     0.191000     0.666000
COKG  -115.728503    32.850513   -32.580000    11.393000     1.530000     0.266000     0.302000     1.033000
COPR  -119.879531    34.414910   -41.430000    19.474000     1.060000     0.124000     0.148000     0.513000
COSO  -117.808893    35.982343   -16.481000     3.118000    -4.136000     0.110000     0.134000     0.475000
COTD  -116.386893    33.732487   -26.511000     7.800000    -8.980000     0.179000     0.196000     0.743000
CPBN  -117.573026    35.071735   -19.879000     2.280000    -0.095000     0.110000     0.130000     0.445000
CRAM  -116.818407    37.081248   -15.587000    -8.538000    -0.005000     0.187000     0.233000     0.738000
CRAT  -116.569256    36.807666   -15.458000    -8.530000     0.446000     0.246000     0.285000     1.096000
CRBT  -120.750759    35.791613   -38.360000    21.413000     0.786000     0.086000     0.105000     0.356000
CRFP  -117.099686    34.039053   -28.517000     8.280000     0.377000     0.138000     0.162000     0.563000
CRGG  -119.724825    35.242091   -31.099000     8.199000     0.221000     0.271000     0.323000     1.049000
CRHS  -118.272771    33.823506   -38.722000    17.649000    -0.040000     0.250000     0.296000     1.114000
CRRS  -115.735045    33.069808   -24.872000     7.948000     0.138000     0.197000     0.226000     0.808000
CRU1  -119.784817    34.029262   -41.695000    22.944000    -0.244000     0.041000     0.048000     0.163000
CSCI  -119.038986    34.168405   -40.226000    19.704000    -0.495000     0.075000     0.090000     0.303000
CSDH  -118.256722    33.861479   -39.784000    17.869000     0.980000     0.130000     0.155000     0.530000
CSN1  -118.523817    34.253552   -37.726000    15.978000    -0.452000     0.126000     0.151000     0.525000
CSST  -119.371255    34.408092   -40.449000    15.683000    -0.774000     0.047000     0.056000     0.205000
